"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2005","86.27","83.35","86.66","78.23","","3.30%"
"04/01/2005","83.51","93.66","94.40","81.79","","-10.90%"
"03/01/2005","93.73","98.37","103.80","91.78","","-5.29%"
"02/01/2005","98.97","91.19","99.93","87.60","","8.28%"
"01/01/2005","91.40","97.88","97.88","90.93","","-8.00%"
"12/01/2004","99.35","107.00","107.82","95.93","","-6.93%"
"11/01/2004","106.75","103.26","111.50","98.68","","3.22%"
"10/01/2004","103.42","101.75","105.98","96.47","","1.44%"
"09/01/2004","101.95","94.60","102.25","90.90","","7.55%"
"08/01/2004","94.79","87.31","96.24","84.12","","8.99%"
"07/01/2004","86.97","86.51","91.90","81.40","","0.79%"
"06/01/2004","86.29","90.39","90.96","80.33","","-3.92%"
"05/01/2004","89.81","81.91","91.31","76.79","","9.60%"
