"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2013","197.70","205.26","206.99","188.39","","-5.37%"
"11/01/2013","208.92","231.67","234.81","202.23","","-11.73%"
"10/01/2013","236.67","224.77","252.43","211.24","","2.94%"
"09/01/2013","229.91","258.81","260.47","225.06","","-9.41%"
"08/01/2013","253.80","250.59","283.23","217.25","","2.03%"
"07/01/2013","248.76","230.75","263.04","210.50","","9.06%"
"06/01/2013","228.09","277.07","284.21","206.66","","-16.92%"
"05/01/2013","274.55","275.71","291.07","244.62","","-3.25%"
"04/01/2013","283.78","357.32","357.50","256.20","","-20.53%"
"03/01/2013","357.11","356.09","364.26","337.29","","0.80%"
"02/01/2013","354.27","399.14","408.25","352.68","","-10.06%"
"01/01/2013","393.88","454.71","455.35","392.72","","-11.33%"
"12/01/2012","444.22","450.15","451.48","418.74","","-1.35%"
"11/01/2012","450.32","500.21","501.95","430.69","","-11.06%"
"10/01/2012","506.33","513.81","523.19","479.68","","-1.46%"
"09/01/2012","513.81","458.71","529.80","451.88","","12.08%"
"08/01/2012","458.42","408.40","460.95","392.45","","12.01%"
"07/01/2012","409.28","426.41","444.00","385.20","","-4.32%"
"06/01/2012","427.77","427.44","464.76","407.02","","2.72%"
"05/01/2012","416.45","443.88","449.05","372.74","","-6.05%"
"04/01/2012","443.27","472.01","484.93","422.92","","-6.27%"
"03/01/2012","472.90","532.04","539.62","458.49","","-10.73%"
"02/01/2012","529.73","541.24","554.92","505.07","","-2.13%"
"01/01/2012","541.24","512.77","554.38","492.68","","8.52%"
"12/01/2011","498.73","584.66","590.72","477.93","","-14.71%"
"11/01/2011","584.78","566.09","614.62","528.26","","3.30%"
"10/01/2011","566.09","526.19","585.00","482.92","","7.58%"
"09/01/2011","526.19","598.32","638.59","516.51","","-12.06%"
"08/01/2011","598.32","543.61","608.21","512.25","","10.06%"
"07/01/2011","543.61","521.56","587.29","507.04","","4.23%"
"06/01/2011","521.56","552.55","554.85","487.96","","-5.61%"
"05/01/2011","552.55","592.50","592.50","507.98","","-6.74%"
"04/01/2011","592.50","573.13","609.22","565.82","","3.38%"
"03/01/2011","573.13","563.95","582.97","517.89","","1.63%"
"02/01/2011","563.95","506.17","565.55","506.17","","11.42%"
"01/01/2011","506.17","573.32","578.80","492.04","","-11.71%"
"12/01/2010","573.32","550.00","598.36","548.83","","4.24%"
"11/01/2010","550.00","522.23","588.15","513.32","","5.32%"
"10/01/2010","522.23","509.88","536.88","490.37","","2.42%"
"09/01/2010","509.88","487.89","516.27","476.40","","4.51%"
"08/01/2010","487.89","442.64","496.38","437.05","","10.22%"
"07/01/2010","442.64","475.22","475.22","429.33","","-6.86%"
"06/01/2010","475.22","453.65","501.22","441.06","","4.75%"
"05/01/2010","453.65","463.73","502.15","419.65","","-2.17%"
"04/01/2010","463.73","406.95","472.70","406.95","","13.95%"
"03/01/2010","406.95","404.18","433.99","392.57","","0.69%"
"02/01/2010","404.18","374.04","419.39","363.25","","8.06%"
"01/01/2010","374.04","429.91","475.32","373.02","","-13.00%"
"12/01/2009","429.91","474.68","516.16","416.02","","-9.43%"
"11/01/2009","474.68","390.89","494.38","384.77","","21.44%"
"10/01/2009","390.89","418.65","458.85","377.20","","-6.63%"
"09/01/2009","418.65","357.22","448.31","347.26","","17.20%"
"08/01/2009","357.22","360.40","380.76","336.47","","-0.88%"
"07/01/2009","360.40","339.73","366.91","303.22","","6.08%"
"06/01/2009","339.73","398.06","404.56","316.49","","-14.65%"
"05/01/2009","398.06","298.54","404.53","296.41","","33.34%"
"04/01/2009","298.54","324.73","343.27","274.11","","-8.07%"
"03/01/2009","324.73","289.85","340.13","254.95","","12.03%"
"02/01/2009","289.85","300.10","327.84","279.62","","-3.42%"
"01/01/2009","300.10","302.41","318.76","241.78","","-0.76%"
"12/01/2008","302.41","247.40","311.38","191.63","","22.24%"
"11/01/2008","247.40","193.87","248.07","159.28","","27.61%"
"10/01/2008","193.87","314.24","330.50","150.27","","-38.31%"
"09/01/2008","314.24","344.07","359.79","253.73","","-8.67%"
"08/01/2008","344.07","403.93","409.44","309.15","","-14.82%"
"07/01/2008","403.93","449.88","479.35","385.04","","-10.21%"
"06/01/2008","449.88","421.79","458.32","393.60","","6.66%"
"05/01/2008","421.79","401.90","459.48","384.53","","4.95%"
"04/01/2008","401.90","438.42","475.60","388.06","","-8.33%"
"03/01/2008","438.42","486.07","519.68","424.63","","-9.80%"
"02/01/2008","486.07","459.00","499.12","424.53","","5.90%"
"01/01/2008","459.00","409.37","489.49","409.37","","12.12%"
"12/01/2007","409.37","406.21","423.61","371.76","","0.78%"
"11/01/2007","406.21","435.08","463.06","396.37","","-6.64%"
"10/01/2007","435.08","392.97","435.53","376.42","","10.72%"
"09/01/2007","392.97","327.24","402.27","327.24","","20.09%"
"08/01/2007","327.24","345.04","349.63","284.85","","-5.16%"
"07/01/2007","345.04","329.35","372.20","329.35","","4.76%"
"06/01/2007","329.35","334.20","344.07","317.81","","-1.45%"
"05/01/2007","334.20","339.60","351.85","317.70","","-1.59%"
"04/01/2007","339.60","337.66","369.69","335.35","","0.57%"
"03/01/2007","337.66","339.80","346.55","311.78","","-0.63%"
"02/01/2007","339.80","336.01","362.58","329.55","","1.13%"
"01/01/2007","336.01","338.24","341.13","306.03","","-0.66%"
"12/01/2006","338.24","355.54","362.53","324.70","","-4.87%"
"11/01/2006","355.54","318.84","356.45","312.11","","11.51%"
"10/01/2006","318.84","300.48","319.40","274.72","","6.11%"
"09/01/2006","300.48","348.94","369.38","284.71","","-13.89%"
