"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2015","29.5500","29.5900","30.5200","27.9500","","0.44%"
"11/01/2015","29.4200","32.3300","33.1000","28.6100","","-9.14%"
"10/01/2015","32.3800","30.7400","37.0900","30.2800","","6.65%"
"09/01/2015","30.3600","33.4500","34.3200","29.8200","","-9.40%"
"08/01/2015","33.5100","34.1700","35.9100","30.9700","","-2.62%"
"07/01/2015","34.4100","42.3100","42.3300","33.2400","","-18.52%"
"06/01/2015","42.2300","46.3700","47.4100","42.2200","","-9.20%"
"05/01/2015","46.5100","47.4000","49.8700","45.7200","","-1.79%"
"04/01/2015","47.3600","42.7300","48.6900","42.5900","","10.09%"
"03/01/2015","43.0200","47.9300","48.0800","40.4800","","-10.43%"
"02/01/2015","48.0300","46.6100","48.9000","46.0300","","3.20%"
"01/01/2015","46.5400","45.8600","49.9900","44.9500","","1.66%"
"12/01/2014","45.7800","44.1300","46.4800","41.3100","","0.98%"
"11/01/2014","45.3371","45.4800","49.5700","43.0200","","-1.16%"
"10/01/2014","45.8700","53.0600","53.4400","44.9900","","-13.96%"
"09/01/2014","53.3100","65.8200","65.9300","53.2600","","-19.09%"
"08/01/2014","65.8900","65.7700","67.5700","64.0600","","-0.23%"
"07/01/2014","66.0400","67.0000","69.2700","65.8700","","-0.92%"
"06/01/2014","66.6500","58.8300","67.0300","58.0800","","13.39%"
"05/01/2014","58.7800","63.2500","64.8100","58.2700","","-7.90%"
"04/01/2014","63.8200","62.1700","66.1200","62.1100","","2.21%"
"03/01/2014","62.4400","65.8700","68.7000","61.0400","","-4.95%"
"02/01/2014","65.6900","59.9100","68.4600","58.8400","","9.41%"
"01/01/2014","60.0400","58.8000","63.9100","57.4600","","2.13%"
"12/01/2013","58.7900","57.8700","58.8400","54.7300","","1.92%"
"11/01/2013","57.6800","64.2100","64.6200","56.0900","","-10.49%"
"10/01/2013","64.4400","66.1900","68.1300","61.1800","","-2.75%"
"09/01/2013","66.2600","70.1400","73.2900","66.1000","","-5.14%"
"08/01/2013","69.8500","65.1000","75.4800","60.1100","","7.16%"
"07/01/2013","65.1800","58.9900","69.5800","57.9800","","11.06%"
"06/01/2013","58.6900","71.9900","73.7900","55.7600","","-18.51%"
"05/01/2013","72.0200","73.7400","76.1300","68.3100","","-2.60%"
"04/01/2013","73.9400","87.5200","87.6800","66.7800","","-15.62%"
"03/01/2013","87.6300","90.5100","91.5200","86.1300","","-3.86%"
"02/01/2013","91.1500","103.0100","104.3900","90.9300","","-11.46%"
"01/01/2013","102.9500","107.3600","110.1900","102.0600","","-2.18%"
"12/01/2012","105.2400","101.8800","106.3000","99.8500","","2.90%"
"11/01/2012","102.2700","110.5400","112.6200","97.8400","","-7.83%"
"10/01/2012","110.9600","112.7500","115.6100","108.3300","","-1.85%"
"09/01/2012","113.0500","98.7200","118.0600","96.5400","","14.48%"
