macro_CPI,macro_rate,macro_fund,macro_GDP,ret_USD_index,ret_VIX,ret_bond_yield_10y,ret_CRB_index,ret_GDM,ret_Gold,run_id,impulse_var,step,model_period,ret_MVG,ret_SPT,ret_GDX,ret_HUI,ret_FTGM,ret_XAU
-0.032229867148244516,-0.005667811736352379,-0.03369768660390512,-0.3461636837910227,0.051819148404610334,0.004225799294997514,-0.006275118851039742,0.047151183306084365,,0.010595212413607042,run_03,ret_Gold,4,191_obs_10_vars,-0.010224285433159985,,,,,
0.018539702348428704,-0.0007862093274010739,-0.007122943019807152,-0.05089472345521742,0.029315286342190196,-0.006762692033861066,0.006050474871437247,0.05525697901329411,,0.005683857548116221,run_03,ret_Gold,5,191_obs_10_vars,-0.002215488036944998,,,,,
-0.00033386670657636983,0.0024505408665272226,0.004457162268986813,0.3307948159020818,-0.011425166196468405,-0.006989987986460902,0.0036049437831784516,0.025576662226975546,,0.0127259491338803,run_03,ret_Gold,6,191_obs_10_vars,-0.003732665293053787,,,,,
-0.0032412474407356798,0.0010051340168875495,0.010233467635472369,0.02087938499156025,-0.014524987240987441,-0.0006618572015500228,-0.0014017018771908145,0.008051859355922751,,0.015477390897724302,run_03,ret_Gold,7,191_obs_10_vars,-0.007159013522247621,,,,,
0.0019326264251753305,-0.0002798866740707049,0.009560655494450137,-0.03171548370723938,-0.01155925869780599,0.0011892864958470784,-0.0010104055450295187,-0.0007554657584578444,,0.0016300529202260727,run_03,ret_Gold,8,191_obs_10_vars,-0.0011304302674017828,,,,,
-0.00029029515698141017,-0.0002856514503586311,-0.0007912462499697707,0.02896897238545188,-0.003688849439865062,0.00038632555979423486,-3.0298841168605636e-05,-0.002645280130005483,,-8.238752359555988e-06,run_03,ret_Gold,9,191_obs_10_vars,-0.0005392829701839983,,,,,
-0.00045192991114870754,-2.55390681976512e-05,-0.0011025199637016174,0.013801638596909688,-0.0011256492682887578,-3.046493665824627e-05,0.0006883518637775713,-0.0008128214828725306,,0.0007192909387313352,run_03,ret_Gold,10,191_obs_10_vars,-0.0004059821005254477,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,run_05,ret_Gold,0,191_obs_10_vars,,0.0,,,,
-0.00954797717328948,-0.010874336534513161,-0.18249697127526662,0.17176042742842443,0.551088135485568,-0.03499215520312844,0.15293533179819613,-0.31258085266087815,,-0.37159314434126145,run_05,ret_Gold,1,191_obs_10_vars,,0.05482366631569581,,,,
0.08039834490323333,0.013404492364601353,0.021172203943257445,-2.284101251582484,0.022396715308793752,0.0047648685540137795,0.053080803645003796,0.050082158547480424,,-0.25226700836028965,run_05,ret_Gold,2,191_obs_10_vars,,0.167547059974477,,,,
